date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top
2014-01-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-01-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-01-29,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-01-30,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-02-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-05,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-06,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-03-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,消费ETF
2014-03-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,
2014-03-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,消费ETF
2014-03-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,消费ETF
2014-03-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-03-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-03-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-03-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-03-31,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-04-01,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-04-02,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-04-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-04-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-04-08,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-09,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,消费ETF
2014-04-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-15,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-16,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,消费ETF
2014-04-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,消费ETF
2014-04-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,消费ETF
2014-04-22,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,沪深300;国债ETF,消费ETF
2014-04-23,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,沪深300;国债ETF,消费ETF
2014-04-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,沪深300;国债ETF,消费ETF
2014-04-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,
2014-04-28,1000000.0,0.0,1000000.0,1.0,False,normal,0.0,1,国债ETF,国债ETF,
2014-04-29,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,国债ETF,
2014-04-30,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,国债ETF,
2014-05-05,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-05-06,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,国债ETF,
2014-05-07,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,沪深300;黄金;国债ETF,
2014-05-08,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,沪深300;国债ETF,
2014-05-09,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,沪深300;国债ETF,
2014-05-12,1000079.3650793651,0.0,1000079.3650793651,0.0,True,normal,0.0,0,,沪深300;国债ETF,
